m_S,kappa,lambda_S,C,Delta,gamma,Psi,alpha_s,Pi_S,kinetic_VEV
1.7050767018496369,0.48383570153768474,0.4221552946445358,0.2685994775509159,1.7711064394951235,17.635241400149518,1421.2695876477187,0.4983835701537685,0.22953146083065823,0.010086175169537566
1.701481192999373,0.47793673067778125,0.435902599710664,0.28711603813600856,1.801145456780922,16.505431625194184,1498.3830391565418,0.4977936730677781,0.34908670635198646,0.011908136446435909
1.683769438869244,0.4893967779596011,0.4162562566180232,0.26473513665510773,1.7523629302382657,13.652156401583474,1182.671231887146,0.4989396777959601,0.2356963160031924,0.016475765611985792
1.6986903201585197,0.4736367007516269,0.41663042605599276,0.268996675771833,1.7547053397512327,16.259754845915996,1270.2207167893132,0.4973636700751627,0.19344202555123458,0.011646097154792525
1.6998592822520986,0.4765753000440259,0.40899978525162883,0.3029831290984851,1.7970677506048574,16.46543641642835,1266.6084648861922,0.4976575300044026,0.339930920805382,0.011911937575823964
1.6929658409616757,0.4869544098452369,0.42164172715903475,0.2750340161345726,1.7823907775729715,14.993810308461013,1383.9514413806312,0.4986954409845237,0.31078354531410834,0.014131290633232105
1.70258071432501,0.49227204616868514,0.4016788141763365,0.28165375178555524,1.7987004398426905,16.85173988834911,1173.903814098143,0.49922720461686854,0.3365421834988269,0.011392740037082245
1.711060762852218,0.4825684216238643,0.4046590048777592,0.2451445767450213,1.7654101883136244,15.886308977051884,1432.480719453098,0.4982568421623864,0.18894419882913205,0.012349382638509005
1.733292788518158,0.48335577848654576,0.4185234742846136,0.2714077654573609,1.7834587152965902,15.709694794128266,1662.096530641837,0.49833557784865457,0.1764210984383121,0.012888151289935324
1.7076186671924776,0.49150897159964335,0.4204763431865607,0.2830473975291396,1.7841178038123913,14.526918055860119,1129.4956037001416,0.49915089715996436,0.2671148253361366,0.015083428907625627
1.7088632558608416,0.49184810308627774,0.41266636862886913,0.2707359105429864,1.7863116074692864,16.339548141119607,1175.9883548599503,0.49918481030862777,0.27069553174818983,0.01195182859261619
1.7038833112635077,0.46861768904428275,0.4090139058688364,0.2755935079017474,1.7550922641594573,16.020853539757788,1186.0595250378553,0.4968617689044283,0.1771305173100748,0.012001308610085862
1.6762184317705144,0.4970808708576806,0.41724260010885095,0.2844589905812775,1.7638626043024372,14.88025123123021,1136.6505444030172,0.4997080870857681,0.3015030558493734,0.014051056441041133
1.7046022918682617,0.48259901789086385,0.41200625287062775,0.27402355312022103,1.7900741413956258,15.88537505706119,1329.225526669636,0.4982599017890864,0.2986964582507565,0.012698344112194827
1.7059034531491155,0.47924342624299043,0.4118316478818382,0.26716237336707876,1.7883271553782731,16.745437473443285,1352.5868762105724,0.497924342624299,0.28800742319727,0.011405148560724596
1.7419486316872794,0.481468680469645,0.4204901029607342,0.27660670986942054,1.7762108048863827,16.164298191440555,994.0857288764585,0.4981468680469645,0.1205397879579464,0.01207467105183677
1.7021145855282833,0.47429872129107115,0.43749528604737187,0.26913562888176046,1.758876863863207,16.57373066037918,1510.1735915751633,0.4974298721291071,0.1964537599651508,0.011262383687731371
1.7095232101350042,0.5055929572515817,0.41263905526489364,0.24611249541279176,1.7665806102009654,15.605432867328773,1351.8831614491066,0.5005592957251581,0.19833744634772543,0.012814901702319336
1.7044793234544213,0.47477428019442636,0.41704042208801606,0.27359156900093295,1.7984280722920971,18.183425641624257,1121.248754976798,0.4974774280194426,0.3290937671246268,0.009782159418354964
